,rating,url
1330,Rating: 4.0 out of 5,https://www.udemy.com/learning-photoshop-cc-2015/
1331,warning alert,https://www.udemy.com/ebook-cover-creator/
1332,Rating: 4.9 out of 5,https://www.udemy.com/photoshop-for-beginners-facebook-cover/
1333,Rating: 3.8 out of 5,https://www.udemy.com/advance-learning-tools-corel-draw-graphics-design/
1334,Rating: 4.4 out of 5,https://www.udemy.com/creating-an-animated-greeting-card-via-google-slides-2/
1335,warning alert,https://www.udemy.com/introduction-to-logo-design/
1336,Rating: 3.6 out of 5,https://www.udemy.com/mobile-app-design/
1337,information alert,https://www.udemy.com/draw-a-kitten/
1338,https://www.udemy.com/adobe-photoshop-cs6-essentials-how-to-use-photoshop/,
1339,Rating: 4.0 out of 5,https://www.udemy.com/learn-gimp/
1340,warning alert,https://www.udemy.com/texturing-for-designers-bring-life-to-design-with-textures/
1341,warning alert,https://www.udemy.com/learn-advanced-photoshop-selections/
1342,Rating: 4.0 out of 5,https://www.udemy.com/indesign-diseno-de-proyectos-paso-a-paso/
1343,alerta de advertencia,https://www.udemy.com/domina-el-diseno-grafico-para-web-con-photoshop-cc/
1344,"Bewertung: 4,5 von 5",https://www.udemy.com/graphicriver-autor-verkaufe-deine-designs-online/
1345,"Рейтинг: 4,3 из 5",https://www.udemy.com/adobe-illustrator-cc-m/
1346,평점: 5점 만점 중 5.0점,https://www.udemy.com/canvasns/
1347,"Classificação: 4,8 de 5",https://www.udemy.com/aula-de-illustrator-como-fazer-um-infografico/
1348,alerta de aviso,https://www.udemy.com/photoshop-workflow-profissional/
1349,"Classificação: 4,8 de 5",https://www.udemy.com/como-produzir-ebook-e-livros-com-adobe-indesign-cc/
1350,"Calificación: 4,5 de 5",https://www.udemy.com/curso-basico-gimp/
1351,Rating: 3.8 out of 5,https://www.udemy.com/curso-de-chapa-metalica-solidworks-2016/
1352,評価: 4.7（5段階中）,https://www.udemy.com/nazoru-illust/
1353,"Note : 4,1 sur 5",https://www.udemy.com/decouvrez-indesign-en-1-heure/
1354,Rating: 4.3 out of 5,https://www.udemy.com/convert-image-to-vector-in-adobe-illustrator/
1355,Rating: 3.3 out of 5,https://www.udemy.com/design-create-vector-graphics-with-inkscape/
1356,Rating: 4.5 out of 5,https://www.udemy.com/gimp-for-beginners/
1357,Rating: 4.6 out of 5,https://www.udemy.com/pscourse/
1358,Rating: 3.2 out of 5,https://www.udemy.com/adobe-photoshop-cc-for-beginners/
1359,information alert,https://www.udemy.com/voxel-3d-model-creation-course/
1360,Rating: 4.5 out of 5,https://www.udemy.com/wordmark/
1361,Rating: 4.5 out of 5,https://www.udemy.com/the-complete-canva-course-for-beginners/
1362,Rating: 4.0 out of 5,https://www.udemy.com/photoshop-for-design-learn-banner-design-in-photoshop/
1363,Rating: 4.9 out of 5,https://www.udemy.com/logo-design-theory-application-bootcamp/
1364,Rating: 4.4 out of 5,https://www.udemy.com/learn-latex/
1365,Rating: 4.3 out of 5,https://www.udemy.com/graphic-design-theory-blitz/
1366,Rating: 4.2 out of 5,https://www.udemy.com/boost-your-sales-with-diy-design-for-non-techy-entrepreneurs/
1367,Rating: 4.0 out of 5,https://www.udemy.com/learn-to-design-a-letterhead/
1368,Rating: 4.4 out of 5,https://www.udemy.com/creating-icons-with-illustrator/
1369,Rating: 4.4 out of 5,https://www.udemy.com/infographic/
1370,Rating: 4.1 out of 5,https://www.udemy.com/how-to-stylize-your-photos-in-photoshop-with-color-overlays/
