name,institution,is_university,level,students,rating,first_review_on
sustainable fashion,copenhagen business school,1,-,0,4.8,2019-12-05
foundations of data science: k-means clustering in python,university of london,1,-,0,4.7,2019-06-04
instructional design foundations and applications,university of illinois at urbana-champaign,1,mixed,12000,3.7,2019-01-14
cursos en línea: modelo para armar,universidad nacional autónoma de méxico,1,-,0,5.0,2020-08-31
modern art & ideas,the museum of modern art,0,beginner,310000,4.8,2015-09-03
"speak english professionally: in person, online & on the phone",georgia institute of technology,1,mixed,430000,4.8,2016-03-14
essential google cloud infrastructure: foundation,google cloud,0,intermediate,83000,4.7,2017-06-30
introduction to artificial intelligence (ai),ibm,0,beginner,44000,4.8,2019-06-28
dog emotion and cognition,duke university,1,mixed,150000,4.6,2015-08-12
international leadership and organizational behavior,università bocconi,1,mixed,41000,4.8,2015-11-06
driving business towards the sustainable development goals,erasmus university rotterdam,1,beginner,5600,4.9,2019-07-13
"the sustainable development goals – a global, transdisciplinary vision for the future",university of copenhagen,1,beginner,26000,4.8,2018-02-03
digital transformation,bcg,0,-,0,4.8,2018-02-28
sequence models,deeplearning.ai,0,intermediate,14000,4.6,2018-02-01
devenir entrepreneur du changement,hec paris,1,-,0,4.8,2015-09-05
seeing through photographs,the museum of modern art,0,-,0,4.8,2016-02-10
entrepreneurship 1: developing the opportunity,university of pennsylvania,1,mixed,86000,4.8,2016-02-10
introduction to search engine optimization,"university of california, davis",1,-,0,4.6,2016-02-09
learn to speak korean 1,yonsei university,1,beginner,120000,4.9,2016-07-27
drug development,university of california san diego,1,-,0,4.6,2016-11-13
r programming,johns hopkins university,1,intermediate,480000,4.2,2015-12-06
economics of money and banking,columbia university,1,mixed,83000,5.0,2016-09-18
chinese for beginners,peking university,1,-,0,4.8,2015-08-07
grammar and punctuation,"university of california, irvine",1,mixed,430000,4.8,2015-09-04
japanese for beginners 1,saint petersburg state university,1,beginner,4400,3.4,2020-05-18
introduction to english common law,university of london,1,-,0,4.8,2018-10-12
introduction to dental medicine,university of pennsylvania,1,beginner,25000,4.9,2016-05-31
fundamentals of reinforcement learning,alberta machine intelligence institute,1,-,0,4.7,2019-07-30
