name,is_paid,price,students,num_lectures,level,content_duration,total_effort,published_on,subject,is_online,rating
get acquired: learn from the head of acquisitions for ebay,True,195,1420,29,mixed,2.5,7.5,2016-04-28,business finance,1,4.9
stock market investment: practical accounting,True,125,1120,43,beginner,3.0,9.0,2017-01-23,business finance,1,3.8
"how to remove 'risk from penny stocks - options trading""",True,200,668,22,mixed,1.0,3.0,2017-02-07,business finance,1,4.1
accounting basics in 66 minutes (absolutely for beginners),True,25,4086,14,mixed,1.5,4.5,2015-03-08,business finance,1,
"tax accounting: difficult topic, made easy to understand",True,200,1033,29,mixed,2.0,6.0,2017-01-11,business finance,1,4.4
analysis of company financial statements,True,20,832,34,mixed,1.5,4.5,2016-12-07,business finance,1,3.9
forex trading like banks – step by step with live examples,True,195,677,40,mixed,4.5,13.5,2016-12-18,business finance,1,4.3
fundamentals of investing!,True,20,3125,13,beginner,2.0,6.0,2015-08-09,business finance,1,4.5
bank financial management a comprehensive study,True,50,1081,21,mixed,1.5,4.5,2017-02-10,business finance,0,
learn to trade forex and stocks: from beginner to advanced,True,200,1645,42,mixed,2.0,6.0,2016-09-07,business finance,0,
"master 'technical analysis and chart reading skills bundle""",True,120,3348,13,mixed,3.0,9.0,2013-02-25,business finance,1,4.1
naked put options trade covered call & poor man covered call,True,200,939,19,mixed,1.5,4.5,2017-02-10,business finance,1,3.9
the ultimate guide to dividend & dividend growth investing,True,200,2115,88,mixed,5.5,16.5,2015-11-13,business finance,1,4.0
charting for beginners 101: technical analysis demystified,True,45,2230,10,mixed,1.5,4.5,2015-10-09,business finance,1,4.6
build a dcf valuation model,True,50,2053,44,mixed,5.5,16.5,2014-10-01,business finance,1,3.9
introductory financial accounting,True,80,1793,54,beginner,10.0,30.0,2012-10-03,business finance,1,4.6
introduction to cryptocurrencies and blockchain,False,0,3775,11,beginner,2.0,6.0,2017-05-01,business finance,1,4.2
trade pullback candlestick strategy - make consistent pips,True,200,521,24,mixed,3.0,9.0,2016-02-24,business finance,1,3.8
accounting standards basics (professional course level),True,20,2222,12,mixed,0.7,2.1,2015-02-07,business finance,1,
use the magic multiple moving average forex trading system,True,50,1097,10,intermediate,1.0,3.0,2014-11-08,business finance,1,4.0
quickbooks 2015 training for newbies,True,200,2506,76,beginner,6.0,18.0,2015-05-11,business finance,1,3.9
trading psychology: trading mindset mastery,True,120,975,23,intermediate,1.0,3.0,2015-09-30,business finance,1,3.8
option trading: how to adjust delta-neutral strangles!,True,145,1398,26,mixed,1.5,4.5,2015-10-19,business finance,1,3.2
profitable binary option trading strategy,True,195,1096,24,mixed,1.5,4.5,2015-10-29,business finance,0,
tax strategy: financial planning for beginners,True,200,1703,25,mixed,2.0,6.0,2014-11-04,business finance,1,4.1
accounting 2 simplified for you,True,45,1446,27,beginner,5.0,15.0,2014-12-09,business finance,1,4.6
project funding modelling (for professionals),True,20,2736,8,mixed,1.5,4.5,2014-12-29,business finance,1,
investing: how i consistently beat the stock market,True,200,2000,34,mixed,4.5,13.5,2014-12-11,business finance,1,4.1
bookkeeping basics:  understand the fundamentals,True,75,853,48,beginner,4.5,13.5,2016-11-06,business finance,1,4.6
leasing - a comprehensive study (professional course level),True,20,3094,22,mixed,3.5,10.5,2015-07-17,business finance,1,
trading options for consistent returns: options basics,False,0,4077,20,beginner,1.5,4.5,2016-08-18,business finance,1,4.5
technitrader leading hybrid indicator trading,True,20,4117,5,intermediate,1.0,3.0,2013-04-04,business finance,1,4.1
financial modeling: build a dcf equity valuation model,True,20,1369,31,mixed,1.5,4.5,2016-03-06,business finance,0,
cryptoarbitrager: bitcoin trading robot (no mining),True,150,1224,14,mixed,0.55,1.65,2016-03-23,business finance,0,
accounting is easy (for beginners),True,20,3870,90,mixed,9.0,27.0,2014-05-20,business finance,1,
