name,students,course_type,institution,is_university,level,subject,hours_per_week,weeks,total_effort,price
software construction: object-oriented design,23100,self-paced on your time,university of british columbia,1,intermediate,computer science,9.0,6.0,54.0,125
the civil war and reconstruction - 1861 - 1865: a new birth of freedom,17941,self-paced on your time,columbia university,1,beginner,history,7.0,12.0,84.0,50
designing and leading learning systems,11895,self-paced on your time,the university of michigan,1,expert,education & teacher training,3.0,8.0,24.0,199
how the u.s. government works & how to get involved,5930,self-paced on your time,georgetown university,1,beginner,social sciences,4.5,6.0,27.0,49
inspiring and motivating arts and culture teams,10817,self-paced on your time,the university of michigan,1,beginner,business & management,4.0,5.0,20.0,49
a system view of communications: from signals to packets (part 1),34261,self-paced on your time,the hong kong university of science and technology,1,beginner,computer science,5.0,7.0,35.0,60
"invasions, rebellions, and the fall of imperial china",41537,self-paced on your time,harvard university,1,beginner,history,2.0,15.0,30.0,139
ap® english literature & composition – part 3: plays,6443,self-paced on your time,"university of california, berkeley",1,beginner,humanities,4.5,7.0,31.5,49
cómo implantar grupos de mejora de procesos,28100,self-paced on your time,universitat politècnica de valencia,0,beginner,business & management,3.5,8.0,28.0,150
proteins: biology's workforce,25893,self-paced on your time,rice university,1,intermediate,biology & life sciences,5.0,5.0,25.0,169
introducción a los ritmos y relojes biológicos,6149,self-paced on your time,universidad nacional de córdoba,1,beginner,science,7.0,4.0,28.0,50
"fundamentals of biomedical imaging: ultrasounds, x-ray, positron emission tomography (pet) and applications",10205,self-paced on your time,école polytechnique fédérale de lausanne,1,expert,engineering,4.5,7.0,31.5,169
fundamentos de electromagnetismo para ingeniería,15040,self-paced on your time,universitat politècnica de valencia,0,beginner,physics,4.5,7.0,31.5,49
sustainable food systems: a mediterranean perspective,6480,self-paced on your time,sdg academy,0,intermediate,food & nutrition,3.0,10.0,30.0,49
using gpus to scale and speed-up deep learning,9294,self-paced on your time,ibm,0,intermediate,data analysis & statistics,3.0,5.0,15.0,99
studiox: creating a course with edx studio,20355,self-paced on your time,edx,0,beginner,education & teacher training,5.0,3.0,15.0,99
introducción a las ondas gravitacionales,8657,self-paced on your time,universidad nacional de córdoba,1,beginner,science,6.0,4.0,24.0,50
global china: from the mongols to the ming,41902,self-paced on your time,harvard university,1,beginner,history,2.0,15.0,30.0,139
computational neuroscience: neuronal dynamics of cognition,11246,self-paced on your time,école polytechnique fédérale de lausanne,1,expert,biology & life sciences,5.0,6.0,30.0,139
cities and the challenge of sustainable development,8775,self-paced on your time,sdg academy,0,beginner,environmental studies,1.5,1.0,1.5,25
