name,students,course_type,institution,is_university,level,subject,hours_per_week,weeks,total_effort,price
mechanics: kinematics and dynamics,35529,self-paced on your time,massachusetts institute of technology,1,intermediate,physics,11.0,12.0,132.0,49
storytelling for social change,30313,self-paced on your time,the university of michigan,1,beginner,communication,2.0,5.0,10.0,49
introduction to data analytics for managers,39113,self-paced on your time,the university of michigan,1,beginner,business & management,3.0,6.0,18.0,49
qualitative research methods: conversational interviewing,21972,self-paced on your time,massachusetts institute of technology,1,intermediate,humanities,2.5,3.0,7.5,49
international project management,45145,self-paced on your time,rochester institute of technology,1,expert,business & management,10.0,9.0,90.0,150
software development fundamentals,51402,self-paced on your time,university of pennsylvania,1,intermediate,computer science,7.0,4.0,28.0,149
"first nights - stravinsky’s rite of spring: modernism, ballet, and riots",17484,self-paced on your time,harvard university,1,beginner,humanities,4.0,3.0,12.0,49
critical thinking & problem solving,6558,self-paced on your time,rochester institute of technology,1,beginner,communication,5.0,3.0,15.0,199
data analysis essentials,42262,self-paced on your time,imperial college business school-imperial college london,1,beginner,business & management,5.0,6.0,30.0,79
master control in supply chain management and logistics,31326,self-paced on your time,chalmers university of technology,1,beginner,business & management,4.5,7.0,31.5,49
work and employment for a sustainable future,6528,self-paced on your time,sdg academy,0,intermediate,economics & finance,3.0,6.0,18.0,49
foundations of data structures,54075,self-paced on your time,iitbombay,1,intermediate,computer science,7.0,6.0,42.0,149
"financial programming and policies, part 1: macroeconomic accounts & analysis",31024,self-paced on your time,the international monetary fund,0,intermediate,economics & finance,9.0,6.0,54.0,25
iot system design: software and hardware integration,13608,self-paced on your time,waseda university,1,intermediate,computer science,5.0,4.0,20.0,99
english for doing business in asia – writing,44252,self-paced on your time,the hong kong university of science and technology,1,beginner,humanities,3.5,7.0,24.5,60
working in teams: a practical guide,43981,self-paced on your time,the university of queensland,1,beginner,humanities,7.0,4.0,28.0,49
introducción a los encofrados y las cimbras en obra civil y edificación,16029,self-paced on your time,universitat politècnica de valencia,0,beginner,engineering,2.5,4.0,10.0,50
ai chatbots without programming,35440,self-paced on your time,ibm,0,beginner,computer science,3.0,2.0,6.0,99
introducción a la ciencia de datos y el big data,16268,self-paced on your time,tecnológico de monterrey,1,intermediate,data analysis & statistics,4.0,4.0,16.0,49
just money: banking as if society mattered,25553,self-paced on your time,massachusetts institute of technology,1,beginner,business & management,3.5,16.0,56.0,49
introducción a r,6431,self-paced on your time,universidades anáhuac,1,beginner,data analysis & statistics,6.5,4.0,26.0,49
computing in python iv: objects & algorithms,28112,self-paced on your time,the georgia institute of technology,1,beginner,computer science,9.5,5.0,47.5,99
adobe illustrator: aprende a crear presentaciones de impacto,18613,self-paced on your time,pontificia universidad javeriana,1,beginner,design,9.5,5.0,47.5,15
teaching critical thinking through art with the national gallery of art,18595,self-paced on your time,the smithsonian institution,0,beginner,education & teacher training,3.5,16.0,56.0,25
word intermedio: herramientas de formato y productividad,10265,self-paced on your time,universitat politècnica de valencia,0,intermediate,computer science,4.5,6.0,27.0,50
introducción a las finanzas: principios de valoración,17344,self-paced on your time,universidad del rosario,1,intermediate,economics & finance,8.0,4.0,32.0,49
aprende a diseñar jardines verticales y cuadros vivos,6341,self-paced on your time,universidad nacional de córdoba,1,beginner,biology & life sciences,1.5,4.0,6.0,29
"anatomy: cardiovascular, urinary, and respiratory systems",36917,self-paced on your time,the university of michigan,1,beginner,biology & life sciences,2.5,4.0,10.0,49
software engineering: introduction,35524,self-paced on your time,university of british columbia,1,expert,computer science,9.0,6.0,54.0,125
structure of materials,13042,self-paced on your time,massachusetts institute of technology,1,intermediate,engineering,7.0,16.0,112.0,150
fundamentos de fotografía documental,13036,self-paced on your time,universidad del rosario,1,beginner,art & culture,5.0,6.0,30.0,49
ap® italian language and culture (2020-2021),39398,self-paced on your time,wellesley college,1,expert,humanities,5.5,12.0,66.0,49
computer hardware and operating systems,9715,self-paced on your time,new york university,1,beginner,computer science,4.0,6.0,24.0,150
marketing management,43415,instructor-led on a course schedule,"the university of maryland, college park-university system of maryland",1,expert,business & management,9.0,7.0,63.0,214
you can innovate: user  innovation & entrepreneurship,18974,self-paced on your time,massachusetts institute of technology,1,beginner,business & management,3.0,10.0,30.0,49
analytics in python,82210,instructor-led on a course schedule,columbia university,1,intermediate,business & management,9.0,12.0,108.0,249
bases matemáticas: álgebra,35811,self-paced on your time,universitat politècnica de valencia,0,beginner,math,3.5,4.0,14.0,50
html5 apps and games,86850,self-paced on your time,the world wide web consortium (w3c),0,expert,computer science,7.0,4.0,28.0,199
matlab and octave for beginners,68706,self-paced on your time,école polytechnique fédérale de lausanne,1,beginner,computer science,5.5,4.0,22.0,139
ap physics 1,43401,self-paced on your time,rice university,1,beginner,physics,3.5,18.0,63.0,49
the divine comedy: dante's journey to freedom,12005,self-paced on your time,georgetown university,1,beginner,humanities,9.5,8.0,76.0,49
linux basics: the command line interface,32726,self-paced on your time,dartmouth_imtx-dartmouth college-imt,1,beginner,computer science,4.0,7.0,28.0,49
entrepreneurial operations: launching a startup,23808,self-paced on your time,babson college,1,intermediate,business & management,5.0,4.0,20.0,149
maths essentials,44642,self-paced on your time,imperial college business school-imperial college london,1,beginner,business & management,3.5,6.0,21.0,79
"marketing analytics: products, distribution and sales",50588,self-paced on your time,"university of california, berkeley",1,intermediate,computer science,6.0,4.0,24.0,249
marketing innovative products and services,6293,self-paced on your time,"the university of maryland, college park-university system of maryland",1,beginner,business & management,2.5,4.0,10.0,149
just reading and writing in english | 生活英语读写,33303,self-paced on your time,tsinghua university,1,beginner,art & culture,3.0,15.0,45.0,149
introduction to java programming – part 1,270376,self-paced on your time,the hong kong university of science and technology,1,beginner,computer science,4.0,5.0,20.0,99
comunicación y redacción digital,7165,self-paced on your time,universidades anáhuac,1,beginner,communication,3.5,4.0,14.0,29
monetary policy analysis and forecasting,6616,self-paced on your time,the international monetary fund,0,expert,economics & finance,9.0,6.0,54.0,25
basic analytical chemistry,19010,self-paced on your time,the university of tokyo,1,beginner,chemistry,3.5,6.0,21.0,49
identifying entrepreneurial opportunities,11922,self-paced on your time,"the university of maryland, college park-university system of maryland",1,beginner,business & management,2.5,4.0,10.0,149
"chinax book club: five authors, five books, five views of china",5855,self-paced on your time,harvard university,1,beginner,literature,1.5,5.0,7.5,139
astrophysics: cosmology,83322,self-paced on your time,australian national university,1,intermediate,physics,3.0,10.0,30.0,50
japanese culture and language (i) |日语与日本文化（1）,18489,self-paced on your time,tsinghua university,1,beginner,art & culture,4.0,10.0,40.0,139
covid-19 training for healthcare workers,5742,self-paced on your time,stanford university,1,beginner,medicine,5.5,2.0,11.0,10
the rise of superheroes and their impact on pop culture,31368,self-paced on your time,the smithsonian institution,0,beginner,humanities,1.5,6.0,9.0,50
introduction to aeronautical engineering,99971,self-paced on your time,delft university of technology,1,beginner,engineering,11.0,7.0,77.0,50
diseño de jardines,5683,self-paced on your time,universidad nacional de córdoba,1,beginner,biology & life sciences,1.5,4.0,6.0,29
"introducción al griego clásico: lengua, nombres y mitología",18849,self-paced on your time,universidad autónoma de madrid,1,beginner,language,4.5,5.0,22.5,49
deep learning fundamentals with keras,32140,self-paced on your time,ibm,0,intermediate,data analysis & statistics,3.0,5.0,15.0,99
existential well-being counseling: a person-centered experiential approach,48439,self-paced on your time,ku leuven university,1,beginner,humanities,7.0,12.0,84.0,49
solid waste management,7668,self-paced on your time,world bank group,0,beginner,environmental studies,2.5,6.0,15.0,5
retail fundamentals,37558,self-paced on your time,dartmouth college,1,intermediate,business & management,4.0,4.0,16.0,99
greatest unsolved mysteries of the universe,93965,self-paced on your time,australian national university,1,intermediate,physics,3.0,9.0,27.0,50
"money markets, foreign exchange and time value of money",12230,self-paced on your time,nyif,0,beginner,economics & finance,1.5,4.0,6.0,199
gestión de contenidos digitales y marketing turístico de ciudad,14627,self-paced on your time,pontificia universidad javeriana,1,beginner,communication,9.5,4.0,38.0,49
designing the user experience,6416,self-paced on your time,"the university of maryland, college park-university system of maryland",1,beginner,business & management,2.5,4.0,10.0,199
introduction to bioconductor,36370,self-paced on your time,harvard university,1,intermediate,data analysis & statistics,3.0,4.0,12.0,149
connected strategy,10355,self-paced on your time,the wharton school of the university of pennsylvania,1,intermediate,business & management,3.0,6.0,18.0,199
hybrid vehicles,18294,instructor-led on a course schedule,chalmers university of technology,1,expert,engineering,15.0,6.0,90.0,249
first nights - handel's messiah and baroque oratorio,18029,self-paced on your time,harvard university,1,beginner,humanities,4.0,3.0,12.0,49
statistical inference and modeling for high-throughput experiments,51590,self-paced on your time,harvard university,1,intermediate,data analysis & statistics,3.0,4.0,12.0,149
first nights - monteverdi’s l’orfeo and the birth of opera,13300,self-paced on your time,harvard university,1,beginner,humanities,4.0,3.0,12.0,49
18th-century opera: handel & mozart,18331,self-paced on your time,harvard university,1,beginner,music,3.5,5.0,17.5,99
introduction to video game development with unity,7605,self-paced on your time,universitat politècnica de valencia,0,intermediate,computer science,3.5,6.0,21.0,50
best practices for project management success,46610,self-paced on your time,rochester institute of technology,1,intermediate,business & management,10.0,11.0,110.0,150
fundamentos de la tecnología blockchain,5473,self-paced on your time,pontificia universidad javeriana,1,beginner,economics & finance,8.5,5.0,42.5,49
información financiera y su análisis,5473,self-paced on your time,tecnológico de monterrey,1,expert,economics & finance,6.5,4.0,26.0,50
coaching skills for learner-centred conversations,8089,self-paced on your time,imperial college london,1,beginner,education & teacher training,1.5,4.0,6.0,49
intellectual property law and policy: part 1,43993,self-paced on your time,university of pennsylvania,1,intermediate,law,2.5,6.0,15.0,169
robotics,68199,instructor-led on a course schedule,columbia university,1,expert,computer science,9.0,10.0,90.0,249
la gestion des ressources humaines,6824,self-paced on your time,hec montréal,0,beginner,business & management,1.5,7.0,10.5,99
writing for social justice,9927,self-paced on your time,"university of california, berkeley",1,beginner,humanities,4.5,4.0,18.0,50
steps in japanese for beginners1 part2,8080,self-paced on your time,waseda university,1,beginner,language,4.0,5.0,20.0,99
case studies in functional genomics,26850,self-paced on your time,harvard university,1,expert,data analysis & statistics,3.0,5.0,15.0,149
essential career skills for investment banking and finance,11655,self-paced on your time,nyif,0,beginner,business & management,3.5,2.0,7.0,49
data structures and software design,30609,self-paced on your time,university of pennsylvania,1,intermediate,computer science,9.0,4.0,36.0,149
unconscious bias: from awareness to action,26659,self-paced on your time,catalyst,0,beginner,communication,1.5,3.0,4.5,49
cybersecurity for critical urban infrastructure,5306,self-paced on your time,massachusetts institute of technology,1,expert,computer science,4.0,4.0,16.0,100
"agile process, project, and program controls",16339,self-paced on your time,"the university of maryland, college park-university system of maryland",1,expert,engineering,2.5,4.0,10.0,199
risk management in development projects,13263,self-paced on your time,inter-american development bank,0,intermediate,business & management,2.5,10.0,25.0,25
"pintura europea: leonardo, rembrandt, goya",32635,self-paced on your time,universidad carlos iii de madrid,1,beginner,humanities,2.5,7.0,17.5,29
risk & return,21970,self-paced on your time,columbia university,1,beginner,business & management,3.5,4.0,14.0,225
project management of engineering projects: preparing for success,42834,instructor-led on a course schedule,delft university of technology,1,intermediate,business & management,5.0,10.0,50.0,99
supply chain dynamics,75464,instructor-led on a course schedule,massachusetts institute of technology,1,expert,business & management,10.0,13.0,130.0,299
aws developer: building on aws,54249,self-paced on your time,amazon web services,0,expert,computer science,3.5,6.0,21.0,149
financial accounting made fun: eliminating your fears,36787,self-paced on your time,babson college,1,beginner,business & management,5.0,4.0,20.0,199
predictionx: john snow and the cholera epidemic of 1854,17713,self-paced on your time,harvard university,1,beginner,history,4.0,1.0,4.0,25
gestión de operaciones,9512,self-paced on your time,universidad nacional de córdoba,1,beginner,business & management,6.0,6.0,36.0,119
microeconomics & business,10962,self-paced on your time,doane university,1,beginner,economics & finance,14.0,8.0,112.0,79
inteligencia artificial: chatbots sin programación,5001,self-paced on your time,ibm,0,beginner,computer science,3.0,2.0,6.0,49
diseño e innovación de modelo de negocios,7180,self-paced on your time,tecnológico de monterrey,1,expert,business & management,6.5,4.0,26.0,99
unlocking investment and finance in emerging markets and developing economies (emdes),29171,self-paced on your time,world bank group,0,beginner,economics & finance,5.0,4.0,20.0,5
gestão de riscos em projetos,8771,self-paced on your time,inter-american development bank,0,intermediate,business & management,3.5,10.0,35.0,25
vocal recording technology,52369,self-paced on your time,berklee college of music,1,beginner,engineering,5.5,6.0,33.0,49
iot sensors and devices,33072,self-paced on your time,curtin university,1,beginner,computer science,5.0,5.0,25.0,199
introducción a las tecnologías para la educación,31533,self-paced on your time,universitat politècnica de valencia,0,beginner,computer science,3.5,5.0,17.5,49
fundamentos de la guitarra eléctrica y acústica,13124,self-paced on your time,berklee college of music,1,beginner,music,3.5,6.0,21.0,49
e-learning on digital agriculture,6238,self-paced on your time,world bank group,0,beginner,environmental studies,2.5,5.0,12.5,5
exploring graphql: a query language for apis,9503,self-paced on your time,the linux foundation,0,beginner,computer science,1.5,7.0,10.5,149
emsat english preparation - level 2,7346,self-paced on your time,united arab emirates university,1,intermediate,language,2.5,6.0,15.0,49
the data science method,7868,self-paced on your time,ibm,0,beginner,data analysis & statistics,5.0,7.0,35.0,39
"plato, socrates, and the birth of western philosophy | 西方哲学精神探源",21291,self-paced on your time,tsinghua university,1,beginner,humanities,2.0,16.0,32.0,49
"cosmic rays, dark matter, and the mysteries of the universe",12888,self-paced on your time,waseda university,1,intermediate,physics,4.0,4.0,16.0,49
macroeconomic diagnostics,23408,self-paced on your time,the international monetary fund,0,intermediate,economics & finance,7.0,6.0,42.0,25
biostatistics,14937,self-paced on your time,doane university,1,beginner,biology & life sciences,7.5,8.0,60.0,79
results-based project management: monitoring and evaluation,32810,self-paced on your time,wits university,1,intermediate,business & management,3.5,8.0,28.0,199
estrategias y estilos de negociación,12639,self-paced on your time,tecnológico de monterrey,1,beginner,business & management,6.5,4.0,26.0,149
políticas efectivas de desarrollo infantil,64387,self-paced on your time,inter-american development bank,0,intermediate,social sciences,4.5,10.0,45.0,25
alzheimer’s disease & dementia care,5763,self-paced on your time,salisbury university-university system of maryland,1,intermediate,medicine,2.5,5.0,12.5,49
understanding classroom interaction,27114,self-paced on your time,university of pennsylvania,1,beginner,education & teacher training,2.5,5.0,12.5,49
sign language science: emergence and evolution of sign language,8313,self-paced on your time,georgetown university,1,beginner,language,4.0,4.0,16.0,99
international humanitarian law,31419,self-paced on your time,université catholique de louvain,1,expert,law,8.0,12.0,96.0,150
"educación de calidad para todos: equidad, inclusión y atención a la diversidad",25111,self-paced on your time,universidad autónoma de madrid,1,beginner,education & teacher training,4.0,6.0,24.0,49
introduction to astrophysics,20802,self-paced on your time,école polytechnique fédérale de lausanne,1,beginner,physics,3.5,7.0,24.5,139
epidemics i,10618,self-paced on your time,university of hong kong,1,beginner,medicine,2.5,5.0,12.5,139
introducción a la genética y la evolución,15297,self-paced on your time,universidad autónoma de madrid,1,beginner,biology & life sciences,2.5,3.0,7.5,49
fundamentals of macroeconomics,17820,self-paced on your time,universidad carlos iii de madrid,1,beginner,economics & finance,2.5,6.0,15.0,129
"blockchain and fintech: basics, applications, and limitations",22011,self-paced on your time,university of hong kong,1,beginner,computer science,3.5,6.0,21.0,199
molecular biology - part 2: transcription and transposition,18168,self-paced on your time,massachusetts institute of technology,1,expert,biology & life sciences,6.0,7.0,42.0,99
"one planet, one ocean",12166,self-paced on your time,sdg academy,0,intermediate,environmental studies,5.0,6.0,30.0,49
reputation management in a digital world,39672,self-paced on your time,curtin university,1,intermediate,communication,3.5,6.0,21.0,99
google ads: publicidad efectiva,12084,self-paced on your time,universidad galileo,1,beginner,business & management,3.0,5.0,15.0,49
introducción a la energía solar fotovoltaica: el módulo fotovoltaico,14673,self-paced on your time,universitat politècnica de valencia,0,intermediate,engineering,3.5,4.0,14.0,50
computer vision fundamentals with watson and opencv,7032,self-paced on your time,ibm,0,beginner,computer science,10.5,14.0,147.0,99
japanese business management,14852,self-paced on your time,waseda university,1,intermediate,business & management,4.0,4.0,16.0,129
fundamentos de logística,7397,self-paced on your time,logyca,0,beginner,engineering,6.0,5.0,30.0,29
sustainable urban development,45760,self-paced on your time,delft university of technology-wageningen university & research-delft university & wageningen university,1,beginner,social sciences,5.0,7.0,35.0,50
introduction to biomedical imaging,56485,self-paced on your time,the university of queensland,1,beginner,medicine,4.5,12.0,54.0,99
introducción a la programación en java: empezando a programar,23321,self-paced on your time,universidad carlos iii de madrid,1,beginner,computer science,8.5,5.0,42.5,49
"circuits and electronics 2: amplification, speed, and delay",9665,self-paced on your time,massachusetts institute of technology,1,intermediate,electronics,8.0,5.0,40.0,169
china’s political and intellectual foundations: from sage kings to confucius,47083,self-paced on your time,harvard university,1,beginner,history,2.0,15.0,30.0,139
introduction to devops and site reliability engineering,8697,self-paced on your time,the linux foundation,0,beginner,computer science,1.5,10.0,15.0,149
digital transformation in business,10118,self-paced on your time,"the university of maryland, college park-university system of maryland",1,expert,business & management,9.0,7.0,63.0,214
designing and creating trousers,7544,self-paced on your time,the hong kong polytechnic university,1,beginner,design,4.0,5.0,20.0,99
introducción a la teoría política: conceptos y grandes pensadores,11741,self-paced on your time,università degli studi di napoli federico ii,1,beginner,social sciences,5.0,7.0,35.0,59
"human rights, human wrongs: challenging poverty, vulnerability and social exclusion",11426,self-paced on your time,sdg academy,0,intermediate,social sciences,3.0,11.0,33.0,49
industry 4.0: how to revolutionize your business,28404,self-paced on your time,the hong kong polytechnic university,1,beginner,business & management,7.0,6.0,42.0,50
desafíos y oportunidades en la economía digital,47792,self-paced on your time,inter-american development bank,0,beginner,economics & finance,2.5,10.0,25.0,25
pensamiento crítico: toma de decisiones razonadas,16853,self-paced on your time,tecnológico de monterrey,1,beginner,business & management,6.5,4.0,26.0,149
sustainable food security: crop production,35367,self-paced on your time,wageningen university & research,1,intermediate,biology & life sciences,7.0,6.0,42.0,49
network and security foundations,7301,self-paced on your time,western governors university,1,beginner,computer science,9.5,8.0,76.0,300
cannabis cultivation and processing,7419,self-paced on your time,doane university,1,beginner,environmental studies,7.5,3.0,22.5,179
"data, models and decisions in business analytics",36289,instructor-led on a course schedule,columbia university,1,expert,business & management,9.0,12.0,108.0,249
data structures fundamentals,42381,self-paced on your time,"the university of california, san diego",1,intermediate,computer science,9.0,6.0,54.0,99
shaping work of the future,22246,self-paced on your time,massachusetts institute of technology,1,beginner,business & management,4.5,8.0,36.0,49
introducción a la robótica e industria 4.0,7056,self-paced on your time,universidades anáhuac,1,beginner,computer science,4.5,3.0,13.5,49
fighting for equality: 1950–2018,9274,self-paced on your time,columbia university,1,intermediate,history,2.5,10.0,25.0,50
"design thinking: ideation, iteration and communication",14629,self-paced on your time,rochester institute of technology,1,intermediate,business & management,10.0,6.0,60.0,299
crear música con tecnología,10961,self-paced on your time,berklee college of music,1,beginner,music,4.0,6.0,24.0,49
análisis de datos: diseño y visualización de tableros,18368,self-paced on your time,delft university of technology,1,intermediate,computer science,5.0,8.0,40.0,49
comunicación estratégica: gestión de crisis e imagen pública,7017,self-paced on your time,pontificia universidad javeriana,1,beginner,communication,3.0,4.0,12.0,49
"understanding agribusiness, value chains, and consumers in global food systems",14052,self-paced on your time,university of adelaide,1,intermediate,business & management,2.5,4.0,10.0,199
unlocking information security: part ii,6426,self-paced on your time,israelx-tel aviv university,1,intermediate,computer science,5.0,6.0,30.0,149
human rights defenders,27338,self-paced on your time,amnesty international,0,beginner,social sciences,4.5,4.0,18.0,49
product design: the delft design approach,87539,self-paced on your time,delft university of technology,1,intermediate,business & management,7.0,7.0,49.0,79
introduction to psychology | 心理学概论,30731,self-paced on your time,tsinghua university,1,beginner,philosophy & ethics,4.0,13.0,52.0,139
circuits and electronics 3: applications,9347,self-paced on your time,massachusetts institute of technology,1,intermediate,electronics,9.0,7.0,63.0,169
vaccines: from smallpox to technologies of the future,6166,self-paced on your time,ku leuven university,1,intermediate,medicine,4.0,6.0,24.0,49
le management,6273,self-paced on your time,hec montréal,0,beginner,business & management,2.5,5.0,12.5,149
circular economy for a sustainable built environment,8032,self-paced on your time,delft university of technology,1,intermediate,architecture,4.0,6.0,24.0,50
agile innovation and problem solving skills,12667,self-paced on your time,"the university of maryland, college park-university system of maryland",1,expert,engineering,2.5,4.0,10.0,199
international investment law,23335,instructor-led on a course schedule,université catholique de louvain,1,expert,law,7.0,10.0,70.0,150
animation and cgi motion,36827,instructor-led on a course schedule,columbia university,1,expert,computer science,9.0,12.0,108.0,249
terrorism and counterterrorism,28580,self-paced on your time,georgetown university,1,beginner,humanities,9.0,7.0,63.0,49
découvrir le marketing,30030,instructor-led on a course schedule,université catholique de louvain,1,intermediate,business & management,4.0,10.0,40.0,150
solar energy: photovoltaic (pv) energy conversion,38041,instructor-led on a course schedule,delft university of technology,1,expert,engineering,10.5,12.0,126.0,250
introduction to actuarial science,52667,self-paced on your time,australian national university,1,beginner,data analysis & statistics,3.0,8.0,24.0,49
predictionx: lost without longitude,9114,self-paced on your time,harvard university,1,beginner,history,3.5,1.0,3.5,49
information technology foundations,6388,self-paced on your time,western governors university,1,beginner,computer science,9.5,6.0,57.0,400
dealing with power and dynamics: discover your leadership style and influence stakeholders,16013,self-paced on your time,delft university of technology,1,intermediate,business & management,4.5,5.0,22.5,125
instructional design and technology: learning theories,21296,instructor-led on a course schedule,university system of maryland-university of maryland global campus,1,intermediate,education & teacher training,9.0,8.0,72.0,299
the math of data science: linear algebra,6746,self-paced on your time,rice university,1,intermediate,math,7.0,8.0,56.0,159
the hardware of a quantum computer,20052,self-paced on your time,delft university of technology,1,intermediate,physics,7.0,6.0,42.0,79
grabar y mezclar música,10856,self-paced on your time,berklee college of music,1,beginner,music,4.0,4.0,16.0,49
herramientas para el análisis de big data,8118,self-paced on your time,tecnológico de monterrey,1,intermediate,data analysis & statistics,4.0,4.0,16.0,49
foundations of central bank law,6169,self-paced on your time,the international monetary fund,0,intermediate,law,4.0,6.0,24.0,25
c programming: modular programming and memory management,18690,self-paced on your time,dartmouth_imtx-dartmouth college-imt,1,beginner,computer science,3.0,7.0,21.0,49
enseñanza temprana de matemáticas y ciencias,8250,self-paced on your time,inter-american development bank,0,beginner,education & teacher training,1.5,10.0,15.0,25
entrepreneurship 102: what can you do for your customer?,11275,self-paced on your time,massachusetts institute of technology,1,beginner,business & management,3.0,10.0,30.0,49
